281,"眼",152079,"yan3","eye","none"
282,"书",151357,"shu1","book/letter","none"
283,"非",149915,"fei1","non-/not-/un-","part"
284,"则",149042,"ze2","(expresses contrast with a previous sentence or clause)/standard/norm/rule/to imitate/to follow/then/principle","verb"
285,"听",148988,"ting1/ting4","listen/hear/obey, let/allow","none"
286,"白",148728,"bai2","white/snowy/empty/blank/bright/clear/plain/pure/gratuitous","none"
287,"却",148679,"que4","but/yet/however/while/to go back/to decline/to retreat/nevertheless","none"
288,"界",148438,"jie4","boundary/scope/extent/circles/group/kingdom (taxonomy)","none"
289,"达",147907,"da2","attain/pass through/achieve/reach/realize/clear/inform/notify/dignity","none"
290,"光",147639,"guang1","light/ray/bright","none"
291,"放",147600,"fang4","to release/to free/to let go/to put/to place/to let out","none"
292,"强",146665,"qiang2","strength/force/power/powerful/better","basic"
293,"即",146459,"ji2","namely/right away/to approach/to draw near","none"
294,"像",145291,"xiang4","(look) like/similar (to)/appearance/to appear/to seem/image/portrait/resemble/seem","none"
295,"难",144597,"nan2/nan4","difficult (to...)/problem/difficulty/difficult/not good, disaster/distress/to scold","none"
296,"且",144597,"qie3","further/moreover","none"
297,"权",144506,"quan2","authority/power/right","none"
298,"思",144503,"si1","to think/to consider","none"
299,"王",143948,"wang2","king/Wang (proper name)","none"
300,"象",143453,"xiang4","shape/form/appearance/elephant/image under a map (math.)","none"
301,"完",143120,"wan2","to finish/to be over/whole/complete/entire","verb"
302,"设",142742,"she4","to set up/to arrange/to establish/to found/to display","none"
303,"式",142292,"shi4","type/form/pattern/style","none"
304,"色",142231,"se4/shai3","color/look/appearance, color/dice","none"
305,"路",141812,"lu4","(surname)/road/path/way","none"
306,"记",139501,"ji4","to remember/to note/mark/sign/to record","none"
307,"南",139078,"nan2","south","direction"
308,"品",138528,"pin3","conduct/grade/thing/product/good","none"
309,"住",138503,"zhu4","to live/to dwell/to reside/to stop","verb"
310,"告",138285,"gao4","to tell/to inform/to say","verb"
311,"类",138280,"lei4","kind/type/class/category/similar/like/to resemble","verb"
312,"求",138216,"qiu2","to seek/to look for/to request/to demand/to beseech","verb"
313,"据",137990,"ju1/ju4","sickness of hand, act in accordance with/seize, according to/to act in accordance with/to depend on/to seize/to occupy","none"
314,"程",136962,"cheng2","rule/order/regulations/formula/journey/procedure/sequence/a surname","none"
315,"北",136939,"bei3","north","direction"
316,"边",136277,"bian1","side/edge/margin/border/boundary","none"
317,"死",136194,"si3","to die/inpassable/uncrossable/inflexible/rigid","verb"
